Draft Class,Name,School,Position,Height,Weight,Hand Size,Arm Length,Wonderlic,40 Yard Dash,Bench Press,Vertical,Broad Jump,Shuttle,3 Cone,60Yd Shuttle
2017,David Njoku,Miami (FL),TE,75.75,246,10,35.25,24,4.64,21,37.5,133,4.34,6.97,
2017,Scott Orndoff,Pittsburgh,TE,76.75,253,10,33.25,,4.84,17,27,112,4.45,7.37,
2017,Hayden Plinke,Texas-El Paso,TE,75.75,264,10,32.5,,4.97,18,28,109,4.59,7.55,
2017,Josiah Price,Michigan State,TE,75.88,249,9.63,30.125,,4.89,25,33.5,115,4.51,7.32,
2017,Michael Roberts,Toledo,TE,76.38,270,11.5,33,,4.86,21,30,110,4.51,7.05,
2017,Eric Saubert,Drake (IA),TE,76.63,253,10.38,33.5,35,4.69,22,33,121,4.59,7.34,
2017,Mason Schreck,Buffalo,TE,76.5,253,9.88,33.125,,4.76,19,34.5,118,4.27,7.36,
2017,Adam Shaheen,Ashland (OH),TE,77.75,278,9.63,33.5,24,4.79,24,32.5,121,4.38,7.09,
2017,Jonnu Smith,Florida International,TE,74.75,248,9.25,32.88,,4.62,22,38,127,4.18,7.43,
2017,Jeremy Sprinkle,Arkansas,TE,76.75,252,10.75,34.5,,4.69,15,29,116,4.33,7.1,11.85
2017,Keith Towbridge,Louisville,TE,75.75,262,9.88,33.625,,4.72,19,37.5,125,4.4,7.1,
2018,Jordan Akins,Central Florida,TE,75,249,9.5,32.5,,,24,35,122,4.38,7.29,
2018,Mark Andrews,Oklahoma,TE,77.13,256,10.5,33.5,,4.67,17,31,113,4.38,7.34,12.39
2018,Marcus Baugh,Ohio State,TE,75.5,247,9.5,33,,4.81,,33,117,4.51,7.28,12.06
2018,Jeb Blazevich,Georgia,TE,76.38,250,9.75,32.125,,,21,33,113,5.4,7.64,
2018,Alec Bloom,Connecticut,TE,78.13,251,9.25,33.5,,4.92,13,29.5,114,4.6,7.27,
2018,Tyler Conklin,Central Michigan,TE,75,254,9.75,33.25,,4.8,18,38,120,4.23,7.13,11.43
2018,Will Dissly,Washington,TE,75.75,262,10.25,32,,4.87,15,28,111,4.4,7.07,12.12
2018,Troy Fumagalli,Wisconsin,TE,76.75,247,10.25,34.13,,,14,,,,,
2018,Mike Gesicki,Penn State,TE,77.5,247,10.13,34,,4.54,22,41.5,129,4.1,6.76,11.33
